code,name
FEG-01, Foundation Course in English-1 Or Foundation Course in Hindi-2
 FST-01, Foundation Course in Science and Technology
 BHDF-01, Foundation Course in Hindi
 FHS-1, Foundation Course in Humanities and Social Sciences
 FEG-02, Foundation Course in English
 FGB-01, Foundation Course in Bengali
 FGT 1, Foundation Course in Gujarati
 FKD-1, Foundation Course in Kannada
 FML-1, Foundation Course in Malayalam
 FMT-1, Foundation Course in Marathi
 FOR-1, Foundation Course in Oriya
 FPB-1, Foundation Course in Punjabi
 FTM-1, Foundation Course in Tamil
 FTG-1, Foundation Course in Telugu
 FUD-1, Foundation Course in Urdu
 FAS-01, Foundation Course in Assamese
 FEG-2, Foundation Course in English-2
 FHD-1, Foundation Course in Hindi-1
 BSKF-01, Foundation Course in Sanskrit
 LSE-01, Cell Biology
 LSE-02, Ecology
 LSE-03, Genetics
 LSE-04(L), Laboratory Course-I
 LSE-05, Physiology
 LSE-06, Developmental Biology
 LSE-07, Taxonomy and Evolution
 LSE-08(L), Laboratory Course-II
 LSE-09, Animal Diversity-I
 LSE-10, Animal Diversity-II
 LSE-11(L), Animal Diversity Lab
 LSE-12, Plant Diversity-I
 LSE-13, Plant Diversity-II
 LSE-14(L), Plant Diversity Lab
 PHE-01, Elementary Mechanics
 PHE-02, Oscillations and Waves
 BPHL-103, Physics Laboratory-I
 PHE-04, Mathematical Methods in Physics-I
 PHE-05, Mathematical Methods in Physics-II
 PHE-06, Thermodynamics and Statistical Mechanics
 PHE-07, Electric and Magnetic Phenomena
 PHE-08(L), Physics Laboratory-II
 PHE-09, Optics.
 PHE-10, Electrical Circuits and Electronics
 PHE-11, Modern Physics
 PHE-12(L), Physics Laboratory-III
 PHE-13, Physics of Solids
 PHE-14, Mathematical Methods in Physics-III
 PHE-15, Astronomy and Astrophysics
 PHE-16, Communication Physics
 CHE-01, Atoms and Molecules
 CHE-02, Inorganic Chemistry
 CHE-03(L), Chemistry Lab-1
 CHE-04, Physical Chemistry
 CHE-05, Organic Chemistry
 CHE-06, Organic Reaction Mechanism
 CHE-07(L), Chemistry Lab-II
 CHE-08(L), Chemistry Lab-III
 CHE-09, Bio chemistry
 CHE-10, Spectroscopy
 CHE-11(L), Chemistry Lab-IV
 CHE-12(L), Chemistry Lab-V
 MTE-01, Calculus
 MTE-02, Linear Algebra
 MTE-04, Elementary Algebra
 MTE-05, Analytical Geometry
 MTE-06, Abstract Algebra
 MTE-07, Advanced Calculus
 MTE-08, Differential Equations
 MTE-09, Real Analysis
 MTE-10, Numerical Analysis
 MTE-11, Probability and Statistics
 MTE-12, Linear Programming
 MTE-13, Discrete Mathematics
 MTE-14, Mathematical Modelling
 MTE-03#, Mathematical Methods
 AFW-E, Feature Writing (English)
 AFW (H), Feature Lekhan (Hindi)
 AWR-E, Writing for Radio (English)
 AWR-H, Radio Lekhan (Hindi)
 ATR-1, Translation (English 4 cr. + Hindi 4 cr.)
 ACC-1, Organizing Childcare Services
 ANC-1, Nutrition for the Community
 AHE-01, Human Environment (6 cr. Theory + 2 cr. Project)
 AMK-1, Marketing
 AED-1, Export Procedures and Documentation
 AOM-1, Office Organization & Management
 ASP-1, Secretarial Practice
 AMT-01, Teaching of Primary School Mathematics (6 cr. Theory + 2 cr. Project)
 ACS-1, Consumer Studies
 CTE-3, Teaching Strategies
 CTE-4, Teaching English - Elementary School To be taken
 CTE-5, Teaching English - Secondary School (with CTE-3 take any one either CTE-4 or CTE-5)
 AST-01, Statistical Techniques
 AOR-01, Operations Research
 AEC-01, Environmental Chemistry (6 cr. Theory + 2 cr. Labwork)
 APM-01, Integrated Pest Management (6 cr. Theory + 2 cr. Project)
 NEV-001, Introduction to Environment
